Site #,Vendor Name,Vendor Link,SiteName,Location,City,State,Zip,Outage Map Flag,Latitude,Longitude
0000,BOWLING GREEN MUNICIPAL UTILITIES,https://outages.bgmu.com/,CORPORATE,650 Three Springs rd,BOWLING GREEN,Kentucky,42101,N/A,36.93251,-86.42179
0001,WARREN RURAL ELECTRIC COOP COR,https://warrenec.outagemap.coop/,BOWLING GREEN,725 BLUE GRASS FARMS BLVD SUITE 1,BOWLING GREEN,Kentucky,42101,N/A,36.923775,-86.42304
0003,KISSIMMEE UTILITY AUTHORITY,https://kissimmee.datacapable.com/map/,KISSIMMEE,"5175 W IRLO BRONSON MEM HWY PKG, LOT",KISSIMMEE,FLORIDA,34746,N/A,28.334164,-81.49048
0004,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,VALENCIA,24901 Pico Canyon Rd,NEWHALL,CALIFORNIA,91381,N/A,34.381298,-118.569626
0005,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,LA MIRADA,14900 E Firestone Blvd,LA MIRADA,CALIFORNIA,90638,N/A,33.875317,-118.014061
0006,PG&E,https://www.pge.com/outagestatus,VACAVILLE,5051 Quinn Rd,VACAVILLE,CALIFORNIA,95688,N/A,38.39,-121.95
0007,CITY OF DENTON,https://www.cityofdenton.com/472/Ready-Denton---Power-Outage,DENTON,5209 N INTERSTATE 35,DENTON,TEXAS,76207,N/A,33.27,-97.13
0008,FPL,https://www.fplmaps.com/,Fort Myers FL,4681 WAYCROSS RD # ROADSIGN,FORT MYERS,FLORIDA,33905,N/A,26.75,-81.75
0009,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,Bakersfield,5500 Wible Road,BAKERSFIELD,CALIFORNIA,93313,N/A,35.3,-119.04
0014,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,SAN BERNARDINO,151 E Redlands Blvd,SAN BERNARDINO,CALIFORNIA,92408,N/A,34.069,-117.282
0016,TECO,https://www.tampaelectric.com/poweroutages/,Tampa FL (Dover),4811 McIntosh Road,DOVER,FLORIDA,33527,N/A,28.024548,-82.24299
0017,PGE,https://portlandgeneral.com/outages,WILSONVILLE,26875 SW Boones Ferry Rd,WILSONVILLE,OREGON,97070,N/A,45.299,-122.773
0018,TACOMA PUBLIC UTILITIES,https://www.mytpu.org/outages-safety/,TACOMA,4650 16th Street East,FIFE,WASHINGTON,98424,N/A,47.239,-122.366
