IDS,Site #,Vendor Name,Vendor Link,Site Name,Location,City,State,Zip,Latitude,Longitude
BGCORP,0,BOWLING GREEN MUNICIPAL UTILITIES,https://outages.bgmu.com/,CORPORATE,650 Three Springs rd,BOWLING GREEN,Kentucky,42101,36.93251,-86.42179
BKY,1,WARREN RURAL ELECTRIC COOP COR,https://warrenec.outagemap.coop/,Bowling Green,725 BLUEGRASS FARMS BLVD,BOWLING GREEN,KY,42104-7932,36.923775,-86.42304
KS7,3,KISSIMMEE UTILITY AUTHORITY,https://kissimmee.datacapable.com/map/,Kissimmee,5175 WEST IRLO BRONSON MEMORIAL HIGHWAY,KISSIMMEE,FL,34746-5307,28.334164,-81.49048
AMRV7,4,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,Valencia,24901 PICO CANYON ROAD,NEWHALL,CA,91381-1706,34.381298,-118.569626
LMCA,5,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,La Mirada,14900 FIRESTONE BOULEVARD,LA MIRADA,CA,90638-6018,33.875317,-118.014061
VAC,6,PG&E,https://www.pge.com/outagestatus,Vacaville,5065 QUINN ROAD,VACAVILLE,CA,95688-9411,38.39,-121.95
DEN,7,CITY OF DENTON,https://www.cityofdenton.com/472/Ready-Denton---Power-Outage,Denton,5209 N INTERSTATE 35,DENTON,TX,76207-1425,33.27,-97.13
FTM,8,FPL,https://www.fplmaps.com/,Ft. Myers,4681 WAYCROSS ROAD,FORT MYERS,FL,33905-5517,26.75,-81.75
SLV7,9,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,Bakersfield,5500 WIBLE ROAD,BAKERSFIELD,CA,93313-3106,35.3,-119.04
NAS,12,Nashville Electric Service,https://map.datacapable.com/i/nes/,Nashville,2618 MUSIC VALLEY DR,NASHVILLE,TN,37214-1208,36.234555,-86.7053059
,14,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,SAN BERNARDINO,151 E Redlands Blvd,SAN BERNARDINO,CALIFORNIA,92408,34.069,-117.282
TPA,16,TECO,https://www.tampaelectric.com/poweroutages/,Dover,4811 MCINTOSH ROAD,DOVER,FL,33527-3706,28.024548,-82.24299
,17,PGE,https://portlandgeneral.com/outages,Wilsonville,26875 SW BOONES FERRY RD,WILSONVILLE,OR,97070-9208,45.299,-122.773
FWA,18,TACOMA PUBLIC UTILITIES,https://www.mytpu.org/outages-safety/,Fife,4650 16TH STREET EAST,FIFE,WA,98424-2626,47.239,-122.366
,20,PG&E,https://www.pge.com/outagestatus,WCDC 20,"5205 Wheeler Ridge Road, Suite A",ARVIN,CALIFORNIA,93203,34.987,-118.942
KC57,24,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Golden,16000 W. COLFAX AVENUE,GOLDEN,CO,80401-3853,39.72745,-105.178871
BRI,29,ATLANTIC CITY ELECTRIC,https://www.atlanticcityelectric.com/outages/experiencing-an-outage/view-outage-map,Bridgeport,602 HERON DR,SWEDESBORO,NJ,08085-1742,39.801,-75.348
ABRV7,30,ROCKY MOUNTAIN POWER,https://www.rockymountainpower.net/outages-safety.html,Draper,13153 S MINUTEMAN DR,DRAPER,UT,84020,40.522,-111.876
TUC,31,TEP - TUCSON ELECTRIC POWER,https://www.tep.com/outages/,Tucson,4700 SOUTH PALO VERDE ROAD,TUCSON,AZ,85714-1947,32.166,-110.917
RVA,32,NOVEC,https://www.novec.com/Stormcenter/index.cfm,Manassas,10850 BALLS FORD RD,MANASSAS,VA,20109-2499,38.79,-77.52
SW7,33,NEW BRAUNFELS UTILITIES,https://oms.nbutexas.com/,New Braunfels,3891 SOUTH IH 35,NEW BRAUNFELS,TX,78130-7199,29.736073,-98.072174
STA7,36,CITY OF STATESVILLE,https://www.statesvillenc.net/public-power,Statesville,1220 MORLAND DR,STATESVILLE,NC,28677-6949,35.782,-80.93
OKC,37,OG&E,https://outagemap.oge.com/,Oklahoma City,13111 NORTH BROADWAY EXTENSION,OKLAHOMA CITY,OK,73114-2246,35.603,-97.504
BUF7,38,NEW YORK STATE ELEC & GAS CORP,https://portal.nyseg.com/outages/map,Buffalo,5533 CAMP RD,HAMBURG,NY,14075-3701,42.715,-78.829
ARV7,39,PNM ELECTRIC & GAS SERVICES,https://outagemap.pnm.com/,Albuquerque,14303 CENTRAL AVE NW,ALBUQUERQUE,NM,87121-7704,35.084,-106.799
LC7,40,El Paso Electric,https://www.epelectric.com/outage-center,Anthony,8805 NORTH DESERT BLVD,ANTHONY,TX,79821-7171,31.9797459,-106.580872
KC27,41,Fountain Utilities,https://www.fountaincolorado.org/government/city_departments___divisions/utilities,Colorado Springs,6830 BANDLEY DR,FOUNTAIN,CO,80817-2613,38.7325058,-104.738411
GR7,42,DUKE ENERGY,https://outagemap.duke-energy.com/,Spartanburg,114 BEST DRIVE,SPARTANBURG,SC,29303-4641,34.981,-81.964
TAL7,45,TALQUIN,https://www.talquinelectric.com/safety-reliability/outage-center/,Tallahassee,31300 BLUE STAR HWY US 90,MIDWAY,FL,32343-2426,30.546,-84.454
CH7,47,EPB,https://epb.com/outage-storm-center/,Chattanooga,6728 RINGGOLD ROAD,CHATTANOOGA,TN,37412-4230,34.995,-85.216
DOT7,48,Dothan Utilities,https://www.dothan.org/474/Outages,Dothan,2961 ROSS CLARK CIR STE 2,DOTHAN,AL,36301-1109,31.21972,-85.43348
EUG,49,PACIFIC POWER,https://www.pacificpower.net/outages-safety.html,Eugene,90855 ROBERTS RD,COBURG,OR,97408-9459,44.157,-123.073
,53,PUGET SOUND ENERGY,https://www.pse.com/en/outage/outage-map,BURLINGTON,1240 OLD HIGHWAY 99 NORTH RD # A,BURLINGTON,WASHINGTON,98233,48.47,-122.338
KAT7,54,CenterPoint Energy,https://tracker.centerpointenergy.com/map/,Katy,27905 KATY FREEWAY,KATY,TX,77494-1077,29.77598,-95.85562
JAC7,56,FPL,https://www.fplmaps.com/,St. Augustine,600 OUTLET MALL BLVD.,ST. AUGUSTINE,FL,32084-2545,29.839,-81.357
RD7,58,CITY OF ROBERTSDALE,http://www.robertsdale.org/utilities-information,Robertsdale,21282 STATE HIGHWAY 59 S,ROBERTSDALE,AL,36567-3732,30.542,-87.709
GRV7,62,UNITIL,http://unitil.muni.maps.sienatech.com/,Chichester,165 DOVER RD.,CHICHESTER,NH,03258-6520,43.125,-77.74
SAV7,63,Georgia Power,https://outagemap.georgiapower.com/,Savannah,129 CONTINENTAL BLVD,POOLER,GA,31322-9514,32.114,-81.244
SYU7,64,NATIONAL GRID,https://www.nationalgridus.com/MA-Home/Outage-Central/Outage-Map,Syracuse,7030 INTERSTATE ISLAND RD.,SYRACUSE,NY,13209-9712,43.082,-76.238
LAK7,65,Jersey Central Power & Light,https://outages-nj.firstenergycorp.com/,Lakewood,1359 RIVER AVE,LAKEWOOD,NJ,08701-5615,40.094,-74.217
CHNY,66,VILLAGE OF CHURCHVILLE,https://churchvilleny.gov/churchville-village-electric/,Churchville,1000 SANFORD ROAD NORTH,CHURCHVILLE,NY,14428-9489,43.105,-77.885
GB7,68,Florida Power & Light,https://www.fplmaps.com/,Gulf-Breeze,6240 GULF BREEZE PKWY,GULF BREEZE,FL,32563-9015,30.40472,-86.96289
GRW7,69,JOHNSON COUNTY REMC,https://jcremc.outagemap.coop/,Greenwood,303 SHEEK ROAD,GREENWOOD,IN,46143-9713,39.572,-86.072
GRM,72,DTE ENERGY,https://outage.dteenergy.com/map,Grand Rapids,201 76TH ST SW,GRAND RAPIDS,MI,49548-7253,42.896,-85.673
LIT,74,NORTH LITTLE ROCK ELECTRIC,https://outagemap.nlrelectric.com/,Little Rock,9801 DIAMOND DRIVE,NORTH LITTLE ROCK,AR,72117-1961,34.836,-92.178
ORV7,78,Georgia Power,https://outagemap.georgiapower.com/,Oakwood,4696 SMITHSON BLVD,OAKWOOD,GA,30566-3301,34.22084,-83.87466
WDS7,79,COBB EMC,https://outagemap.cobbemc.com/,Woodstock,505 PARKWAY 575,WOODSTOCK,GA,30188-6446,34.09,-84.505
MAC7,84,Georgia Power,https://outagemap.georgiapower.com/,Macon,225 W.E. GREEN JR. PARKWAY,BYRON,GA,31008-4044,32.653,-83.761
POR7,86,Portland General Electric,https://portlandgeneral.com/outages,Portland,24000 NE SANDY BLVD.,WOOD VILLAGE,OR,97060-8601,45.54183,-122.41445
SAC,87,CITY OF ROSEVILLE,https://www.roseville.ca.gov/electric_utility/safety/outages.php,Sacramento,1039 ORLANDO AVE,ROSEVILLE,CA,95661-5230,38.752,-121.271
ANA,88,ALABAMA POWER,https://outagemap.alabamapower.com/,Anniston,2772 US HIGHWAY 78 E STE 2,ANNISTON,AL,36203-4509,33.661,-85.826
CHN7,89,Dominion Energy South Carolina,https://outagemap.dominionenergysc.com/,Charleston,8155 RIVERS AVENUE,NORTH CHARLESTON,SC,29406-9238,32.9553386,-80.0447545
FRE,90,PG&E,https://www.pge.com/outagestatus,Fresno,3672 SOUTH MAPLE AVE.,FRESNO,CA,93725-2417,36.691,-119.781
STR,93,LIBERTY UTILITIES - EMPIRE DISTRICT,https://central.libertyutilities.com/all/residential/emergencies-outages/outages-map.html,Strafford,373 E EVERGREEN RD,STRAFFORD,MO,65757-9886,37.263,-93.117
CLE,94,ALABAMA POWER,https://outagemap.alabamapower.com/,Calera,730 GEORGE ROY PARKWAY,CALERA,AL,35040-7005,33.109,-86.759
MER,95,IDAHO POWER CO,https://tools.idahopower.com/outage,Meridian,1580 W OVERLAND RD,MERIDIAN,ID,83642-6501,43.59,-116.413
COL,96,MID-CAROLINA ELECTRIC COOPERATIVE INC,https://mcecoop.maps.arcgis.com/apps/webappviewer/index.html?id=bcd794b1efa8472ea0de2a08723a88f9,Columbia,3634 FERNANDINA ROAD,COLUMBIA,SC,29210-5221,34.057,-81.148
CBI,121,MidAmerican Energy,https://www.midamericanenergy.com/outagewatch/dsk.html,Council Bluff,2802 SOUTH 21ST STREET,COUNCIL BLUFFS,IA,51501-7726,41.2336273,-95.87593
HL7,125,CONSUMERS ENERGY,https://www.consumersenergy.com/OutageMap,Houghton Lake,2735 WEST HOUGHTON LAKE DRIVE,HOUGHTON LAKE,MI,48629-9045,44.315,-84.764
RED,126,CITY OF REDDING,https://reuoutage.ci.redding.ca.us/POP/pages/outage-map.html?ServiceType=Electric,Redding,3700 AUTO MALL DRIVE,ANDERSON,CA,96007-4929,33.909,-117.437
OCA,127,DUKE ENERGY,https://outagemap.duke-energy.com/,Ocala,14200 S US HIGHWAY 441,SUMMERFIELD,FL,34491-3455,28.978,-82.016
SPO,129,AVISTA,https://outagemap.myavista.com/,Spokane,19651 E CATALDO AVE,LIBERTY LAKE,WA,99016-9678,47.674,-117.141
BNJ,349,Atlantic City Electric,https://www.atlanticcityelectric.com/outages/experiencing-an-outage/view-outage-map,Berlin,127 NEW JERSEY 73,BERLIN,NJ,8009,39.72837049,-74.90635255
CNW,133,Eversource Energy,https://outagemap.eversource.com/external/default.html,Conway,1571 EAST MAIN STREET,CENTER CONWAY,NH,03813-6520,43.9948578,-71.06332
LAC,134,Florida Power & Light,https://www.fplmaps.com/,Lake City,530 SW FLORIDA GATEWAY DR,LAKE CITY,FL,32024-3856,30.17483,-82.687645
FAY,135,Duke Energy Progress,https://outagemap.duke-energy.com/,Fayetteville,5117 US HIGHWAY 301 S,HOPE MILLS,NC,28348-2529,34.94769,-78.92701
RAL,136,DUKE ENERGY,https://outagemap.duke-energy.com/,Raleigh,2300 U.S. HWY. 70 E.,GARNER,NC,27529-9425,35.711,-78.579
ASH,138,DUKE ENERGY,https://outagemap.duke-energy.com/,Ashville,2918 N RUGBY RD,HENDERSONVILLE,NC,28791-9067,35.353,-82.458
LOW,139,Carroll Electric Cooperative,https://outage.carroll-electric.org/,Lowell,317 NORTH 6TH PLACE,LOWELL,AR,72745-8779,36.2590065,-94.14916
